etid,status
75909,0
142201,1
479811,1
363301,4
320301,0
267491,0
3232,0
439216,4
307461,0
281,1
282,0
353,0
252,0
274,1
212,0
251,0
226,0
204,0
263,0
231,1
32309,1
56590,1
247306,1
210,0
232,0
250,0
259,0
248,0
262,0
209,0
387596,1
387606,1
393251,1
494351,1
387601,2
239,5
203,0
283,0
458,0
242,0
256,1
243,1
220,0
279,0
244,1
225,0
221,0
278,0
217,0
249,1
328401,1
258,0
267,0
265,0
275,0
206,0
284,1
215,0
205,0
350946,3
230,0
2215,0
218,0
238,1
240,0
224,0
255,1
229,0
311,0
285,0
382,1
289,0
336,0
1331,1
374,0
296,0
294,0
362,0
308,0
302,0
301,1
300,1
322,1
305,1
304,0
307,0
306,0
309,0
341,0
314,0
315,0
318,0
319,0
326,0
323,0
303,1
328,0
335,0
1831,0
347,0
332,0
331,0
329,0
337,0
339,1
345,1
343,0
350,0
354,0
352,0
351,0
348,0
2068,0
4913,0
11211,0
367,1
359,1
363,0
364,0
369,1
368,0
366,0
371,0
372,0
376,0
380,1
389,0
445,0
385,0
394,0
392,1
388,0
1121,0
391,1
396,1
419,0
435,0
398,1
397,0
399,0
401,1
403,1
408,1
457,0
455,0
429,0
420,0
418,0
428,0
427,1
430,1
42782,0
426,1
472656,1
441,0
437,0
438,0
439,0
440,0
442,0
447,1
469,0
451,0
453,1
466,0
454,0
452,0
456,0
459,0
470,0
465,0
468,1
477,0
476,0
482,1
480,0
483,1
486,0
485,1
620,1
447942,1
447947,1
476206,6
634,0
2787,0
518,0
712,0
1497,0
1922,0
1229,1
183,0
600,0
818,0
753,0
506,1
501,0
512,0
498,1
519,0
490,0
407111,0
478941,8
493,0
491,0
497,0
499,0
502,0
508,0
507,1
511,1
515,1
607,0
1421,1
516,0
521,0
523,1
535,0
542,0
533,0
524,0
529,0
541,0
545,1
527,0
528,0
531,0
841,0
548,0
539,0
550,0
551,1
547,1
59843,1
558,1
576,1
587,0
566,0
561,0
564,0
565,0
571,0
377336,1
593,1
581,0
573,0
590,0
643,0
619,0
589,1
25981,0
592,1
596,0
594,1
300736,1
482716,6
597,0
598,0
793,0
609,0
1754,1
602,0
744,0
605,0
606,1
613,0
621,1
622,0
623,0
625,0
627,0
642,0
636,0
667,0
639,0
640,0
1124,0
645,0
646,0
647,0
648,1
651,1
8837,1
657,0
670,1
678,0
679,0
680,0
481811,1
496166,1
684,0
685,0
686,0
688,0
1853,1
690,0
691,1
694,0
701,1
699,0
703,0
704,1
52611,1
52612,1
64796,1
65767,1
433446,1
707,0
709,0
710,0
715,0
799,0
717,0
723,1
15265,1
724,0
727,1
729,0
730,0
632,0
633,0
635,0
674,0
675,0
676,0
733,0
734,0
735,0
736,0
738,0
978,1
731,1
740,0
741,1
743,1
767,0
746,0
747,0
750,1
306816,1
449937,1
774,0
754,0
757,0
761,1
762,0
771,0
770,0
772,0
776,1
778,1
780,0
781,1
783,0
786,0
787,0
791,0
631,0
792,0
796,0
798,1
804,0
807,0
809,1
810,0
811,0
817,1
375361,1
823,0
822,0
825,0
826,0
827,0
830,0
832,0
831,1
837,0
838,1
840,0
844,0
847,1
854,1
856,0
857,0
859,0
860,1
862,1
797,1
389451,4
869,0
871,0
873,0
874,0
875,0
879,0
920,0
312226,3
882,0
918,1
884,0
887,0
888,0
889,0
891,0
5954,0
392771,0
892,1
392756,2
392761,2
392766,2
476791,6
893,0
894,0
896,1
897,0
898,0
901,0
904,0
905,0
906,0
910,0
911,0
912,0
301061,1
913,0
917,0
919,0
924,0
926,0
927,0
928,1
929,0
297451,1
931,1
933,1
291686,1
934,1
935,1
936,0
937,0
938,0
939,1
940,1
942,0
943,0
944,0
945,0
946,0
947,1
951,0
952,0
464066,1
69655,1
955,2
957,0
961,0
962,1
963,1
964,1
30572,1
966,0
967,0
1004,0
1077,0
970,0
974,0
975,0
979,0
982,1
984,0
988,0
989,1
990,0
992,1
995,1
996,0
997,0
999,0
401991,1
998,1
1008,0
1011,1
1032,0
1848,0
1012,0
1015,1
1016,0
1018,0
1019,0
1020,0
1021,0
1022,1
1023,0
1027,0
1033,1
1034,0
1035,0
1036,0
1037,0
1039,0
1045,0
1046,0
1047,0
327541,3
1049,0
1050,0
2106,0
1051,1
1052,0
1053,0
1056,0
1460,0
1061,0
1063,0
1065,0
1066,0
1071,0
1074,0
1075,1
1076,0
1078,0
1083,0
1084,0
1085,1
1087,1
75521,1
1089,1
1090,1
51329,1
1091,0
1094,1
1095,1
1097,0
1098,0
1100,0
1101,1
1104,1
1105,0
1108,1
1109,1
36459,1
36537,1
486877,6
1110,0
432946,1
1111,0
1115,0
1118,1
1120,0
1122,0
1126,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,1
1138,0
1141,0
1142,1
1143,1
1144,0
1145,0
1147,1
1148,1
1149,0
1150,0
1151,1
1154,0
1157,0
1158,1
184836,1
1166,1
1167,0
1169,0
1173,1
1174,0
1176,0
68796,0
1179,1
28423,1
1178,0
1180,0
1181,0
1186,0
1188,0
1189,0
1192,1
14684,1
1194,1
1195,1
1196,0
1198,0
1199,0
1200,1
1201,0
1202,0
1203,0
1204,0
1206,1
1208,0
1209,1
1217,0
1218,0
1220,0
1222,1
73137,1
473171,6
1223,1
48833,1
1225,1
1227,0
2453,1
1230,0
1232,0
1233,0
1236,1
1238,1
1239,0
1184,0
1243,1
1245,1
1246,0
1248,0
1249,0
1250,1
1251,0
1254,0
1257,0
1258,1
1259,0
1260,0
1261,0
5025,0
1263,0
1265,0
1269,1
1272,0
1273,1
1275,0
1277,1
1278,0
1283,1
1286,0
1287,0
1289,0
1295,0
1298,0
1301,0
1302,0
1307,0
1308,0
1309,0
1311,0
1312,0
1313,0
1315,1
1316,1
9297,1
1317,1
1319,1
1321,1
1323,0
1325,0
1326,0
1327,0
1329,1
1330,2
2503,2
42924,2
42925,2
296541,2
479891,6
1332,1
1347,0
2726,0
1334,1
1335,1
475451,6
1336,0
1345,0
1348,0
1352,0
1359,0
1361,1
1362,1
1365,0
1366,1
1371,0
1373,1
1375,1
1377,0
1381,0
1393,0
365016,0
456101,0
1397,0
1398,0
1399,0
1400,0
1401,1
1402,0
1403,1
10157,1
1404,1
1410,1
1411,1
1414,0
1415,0
1417,0
1418,0
1419,1
1422,0
1425,0
1426,0
1428,1
1433,0
1436,1
1437,0
1438,1
1440,1
1441,0
1442,1
1444,1
1447,1
1449,1
26370,1
1450,0
1451,1
1453,1
1454,1
1457,1
1459,0
1461,0
1462,0
1463,0
1464,0
1465,0
6128,0
1466,0
1468,0
1469,1
1471,0
1473,0
1474,0
1476,0
1477,0
1478,0
1483,0
1485,0
1489,1
1498,1
1499,1
369261,1
1509,0
11563,1
1501,0
1502,1
1504,1
4458,1
392881,1
486577,6
1505,1
1507,1
1510,1
1526,0
1528,1
1543,1
1550,1
1552,0
1555,0
1588,1
4839,1
1602,1
1604,1
1609,1
1634,0
51000,0
181871,0
1637,0
1642,0
1645,0
1654,0
1656,1
1659,0
1663,0
1664,1
1678,1
1690,0
1697,0
1698,1
1701,0
1707,0
1749,1
1750,1
1751,0
1753,1
1758,0
420986,0
459566,2
1766,1
1879,1
1936,1
2048,0
1883,1
3271,0
877,0
1368,0
921,0
925,0
1430,0
1271,1
1407,0
313186,0
67633,1
244521,0
4608,0
73781,1
6224,1
39115,1
355216,2
5609,0
400,0
242006,0
243171,1
473,0
173941,1
2986,1
408271,1
1093,0
1137,0
1211,1
1281,0
1296,0
1299,1
236456,1
1353,0
1357,0
1358,0
1380,1
1408,1
1409,1
1412,1
1623,0
1886,1
1434,0
1467,0
2758,0
1479,0
1480,0
1481,1
1482,0
2029,0
340566,0
417796,0
487857,8
1484,0
6642,0
1491,0
1492,1
6099,1
1503,1
2231,0
1508,0
1427,1
2532,1
1515,0
1516,0
1517,0
2209,0
2153,1
1522,0
1669,0
1531,1
1532,0
2536,1
332051,1
325856,2
166131,1
1823,0
39116,0
2647,0
289876,0
301041,0
405281,0
478406,0
2084,1
2200,1
41906,1
396711,1
396716,1
396721,1
474756,6
482741,6
1534,0
1544,0
2649,0
1551,0
1545,1
1546,0
1560,1
187061,1
389446,4
1570,0
1583,0
1589,0
1538,0
1590,0
1592,0
2042,1
1593,0
1596,1
1599,1
1580,1
1562,0
197551,0
1796,0
1563,0
1616,0
1618,0
1621,1
473971,6
1615,0
1591,0
1635,1
1636,1
1610,0
1585,0
1584,0
1587,0
1625,0
1650,0
1595,0
1594,0
1660,1
1630,1
1632,1
4108,0
1987,1
1667,0
1652,1
1648,0
1675,0
1685,0
283536,1
1689,1
1673,0
1672,0
1613,0
1693,1
1666,0
1699,1
1624,0
1702,0
1704,0
1668,0
228086,0
244261,0
302306,0
373041,0
373046,0
373196,0
373201,0
386376,0
386381,0
386386,0
386391,0
386396,0
1683,0
1716,1
1511,0
1733,1
1735,1
400321,1
1679,0
1734,1
1737,0
1738,0
1739,0
477936,1
493096,6
1629,1
1746,1
1748,0
1718,1
1537,0
1661,1
1647,0
1759,0
1708,1
1769,0
1730,1
1785,0
1790,0
1791,0
1798,1
1805,1
1773,0
1807,0
1794,1
1506,1
1726,1
1530,0
1815,1
2595,0
922,0
1818,1
28242,1
1826,0
1827,1
1808,0
490232,0
1830,1
1839,0
1840,0
1845,1
1838,1
1710,0
1709,0
1755,0
1762,0
2158,1
1837,1
332781,1
1817,0
1781,1
1727,1
1761,0
1813,1
1792,1
463651,1
1772,1
475736,1
1868,1
1870,0
1874,0
1844,1
1959,0
1806,1
2018,0
1882,0
338661,1
1728,0
1887,0
1871,1
1864,1
1715,0
1890,0
14275,0
393341,1
393346,1
416451,1
417031,1
1891,1
1888,1
1620,1
1901,0
1873,1
1780,0
1905,0
1938,1
1918,1
2058,0
