nid,type,createddate,etid,localapprovalstatus,"Slideshow node","Slideshow status","Slideshow created date","Slideshow photo count",Video_node,Video_status,Video_created_date,Video_type,"List items",Vertical
77756501,story,05/1/2015,9303,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77853956,story,05/1/2015,264291,1,N/a,N/a,N/a,N/a,77853671,1,05/1/2015,5min.com,N/a,No
77853341,story,05/1/2015,320866,1,N/a,N/a,N/a,N/a,77853241,1,05/1/2015,5min.com,N/a,No
77832416,story,05/1/2015,69926,0,N/a,N/a,N/a,N/a,77832136,1,04/29/2015,Youtube,N/a,No
77832016,story,05/1/2015,7256,1,N/a,N/a,N/a,N/a,77831896,1,05/1/2015,5min.com,N/a,No
77828611,story,05/1/2015,465216,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77799776,story,05/1/2015,61099,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77700891,story,05/1/2015,441241,0,77700856,1,04/21/2015,5,N/a,N/a,N/a,N/a,N/a,No
77626521,story,05/1/2015,25671,1,N/a,N/a,N/a,N/a,77626861,1,04/16/2015,5min.com,N/a,No
77294571,story,05/1/2015,354171,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77292951,story,05/1/2015,21453,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
75931442,story,05/1/2015,27549,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77860521,story,05/1/2015,324206,1,N/a,N/a,N/a,N/a,77860691,1,05/1/2015,Youtube,N/a,No
77860531,story,05/1/2015,25612,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77860626,review,05/1/2015,302711,1,77860486,1,05/1/2015,11,77860481,1,05/1/2015,Youtube,N/a,Yes
77860686,story,05/1/2015,459311,1,77860631,1,05/1/2015,7,77860681,1,05/1/2015,Youtube,N/a,Yes
77842426,list,05/1/2015,54896,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,4,Yes
77860751,story,05/1/2015,302711,1,77860716,1,05/1/2015,5,77860746,1,05/1/2015,Youtube,N/a,Yes
77860761,story,05/1/2015,375506,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77860781,story,05/1/2015,491491,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
48773836,story,05/1/2015,377846,1,77860786,1,05/1/2015,6,77860951,1,05/1/2015,Youtube,N/a,No
77860871,story,05/1/2015,63083,1,77860796,1,05/1/2015,7,N/a,N/a,N/a,N/a,N/a,Yes
77860876,story,05/1/2015,437626,1,N/a,N/a,N/a,N/a,77860866,1,05/1/2015,Youtube,N/a,No
77860886,story,05/1/2015,18496,1,N/a,N/a,N/a,N/a,77860881,1,05/1/2015,Youtube,N/a,No
77860966,story,05/1/2015,236446,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77860961,story,05/1/2015,258621,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77856356,story,05/1/2015,21578,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77850921,story,05/1/2015,235916,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861016,story,05/1/2015,46788,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861021,story,05/1/2015,73758,1,77860771,1,05/1/2015,11,N/a,N/a,N/a,N/a,N/a,No
77861026,story,05/1/2015,16025,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861031,story,05/1/2015,341696,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77856496,story,05/1/2015,4645,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861066,story,05/1/2015,428096,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77856501,story,05/1/2015,39495,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861046,story,05/1/2015,14897,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861421,story,05/1/2015,73758,1,77861061,1,05/1/2015,15,N/a,N/a,N/a,N/a,N/a,No
77861451,review,05/1/2015,1917,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77861461,story,05/1/2015,491446,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861471,story,05/1/2015,415171,1,N/a,N/a,N/a,N/a,77861456,1,05/1/2015,5min.com,N/a,No
77840041,review,05/1/2015,6911,0,77839991,1,05/1/2015,6,N/a,N/a,N/a,N/a,N/a,No
77861506,story,05/1/2015,31298,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77861511,story,05/1/2015,355476,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861516,review,05/1/2015,49304,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861536,review,05/1/2015,23026,1,N/a,N/a,N/a,N/a,77861526,1,05/1/2015,Youtube,N/a,Yes
77861501,story,05/1/2015,425371,1,77861541,1,05/1/2015,5,77861521,1,05/1/2015,Youtube,N/a,Yes
77861581,story,05/1/2015,239911,1,N/a,N/a,N/a,N/a,77861576,1,05/1/2015,5min.com,N/a,No
77860536,story,05/1/2015,2082,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77855291,story,05/1/2015,161886,0,77856411,1,05/1/2015,10,77856106,1,05/1/2015,5min.com,N/a,No
77861601,story,05/1/2015,34425,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861701,story,05/1/2015,5895,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77861706,story,05/1/2015,353341,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77856371,story,05/1/2015,394091,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861736,story,05/1/2015,341696,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861751,story,05/1/2015,779,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Yes
77861756,story,05/1/2015,55810,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77861761,story,05/1/2015,363586,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,No
77837531,list,05/1/2015,7028,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,5,No
