etid,startdate,enddate,status
109176,12-31-1969,09/13/2013,0
125266,12-31-1969,01/20/2011,0
1923,10/18/2007,"Status is 0. No changes in GEM unknown history",0
216,04/8/2008,"Status is 0. No changes in GEM unknown history",0
22698,12-31-1969,03/20/2012,0
206,12-31-1969,09/26/2012,0
207,04/13/2008,"Status is 0. No changes in GEM unknown history",0
2597,12-31-1969,06/26/2012,0
3394,05/13/2008,"Status is 0. No changes in GEM unknown history",0
2068,05/15/2008,"Status is 0. No changes in GEM unknown history",0
100181,12-31-1969,04/6/2011,0
143371,05-29-2008,09/3/2015,0
383,05-29-2008,08/2/2011,0
390,05-29-2008,01/25/2012,0
1121,06/4/2008,"Status is 0. No changes in GEM unknown history",0
413,05-29-2008,06/23/2011,0
35240,05-29-2008,08/20/2015,0
404,05-29-2008,03/19/2012,0
425,05-29-2008,03/18/2011,0
42782,06/19/2008,"Status is 0. No changes in GEM unknown history",0
435,05-29-2008,04/6/2011,0
432,05-29-2008,01/24/2011,0
475,05-29-2008,03/19/2012,0
490,05-29-2008,04/8/2015,0
513,05-29-2008,08/20/2015,0
532,05-29-2008,06/27/2011,0
559,08/6/2008,"Status is 0. No changes in GEM unknown history",0
60071,05-29-2008,09/3/2015,0
1752,08/7/2008,"Status is 0. No changes in GEM unknown history",0
2168,08/9/2008,"Status is 0. No changes in GEM unknown history",0
591,05-29-2008,09/17/2012,0
615,05-29-2008,01/19/2012,0
25981,05-29-2008,03/31/2011,0
632,08/15/2008,"Status is 0. No changes in GEM unknown history",0
604,05-29-2008,04/28/2011,0
661,05-29-2008,12/20/2012,0
3667,08/19/2008,"Status is 0. No changes in GEM unknown history",0
682,05-29-2008,05/22/2014,0
669,05-29-2008,08/24/2011,0
689,05-29-2008,08/20/2015,0
680,05-29-2008,09/21/2012,0
764,05-29-2008,04/2/2012,0
69571,05-29-2008,02/3/2011,0
804,05-29-2008,05/15/2015,0
2826,09/1/2008,"Status is 0. No changes in GEM unknown history",0
823,05-29-2008,08/20/2015,0
11035,05-29-2008,04/5/2012,0
801,05-29-2008,06/4/2015,0
193061,05-29-2008,03/3/2011,0
858,05-29-2008,03/30/2012,0
788,05-29-2008,08/20/2015,0
914,05-29-2008,08/20/2015,0
929,05-29-2008,07/19/2011,0
5954,05-29-2008,12/22/2010,0
905,05-29-2008,10/4/2012,0
903,05-29-2008,05/4/2011,0
977,05-29-2008,08/20/2015,0
991,05-29-2008,03/8/2012,0
2229,05-29-2008,05/23/2013,0
983,05-29-2008,08/20/2015,0
1003,05-29-2008,03/16/2012,0
1047,05-29-2008,03/16/2012,0
36159,05-29-2008,03/20/2012,0
1053,05-29-2008,07/15/2011,0
1060,05-29-2008,08/20/2015,0
1059,05-29-2008,08/20/2015,0
2106,09/30/2008,"Status is 0. No changes in GEM unknown history",0
1079,05-29-2008,08/20/2015,0
1088,05-29-2008,07/6/2011,0
14497,05-29-2008,01/4/2013,0
1950,05-29-2008,03/23/2012,0
1154,05-29-2008,06/15/2011,0
1110,05-29-2008,05/23/2013,0
1205,05-29-2008,12/29/2011,0
1181,05-29-2008,04/11/2011,0
1764,10/9/2008,"Status is 0. No changes in GEM unknown history",0
1237,10-10-2008,11/9/2011,0
1278,10-10-2008,08/16/2011,0
1291,10-10-2008,07/18/2012,0
2204,10-10-2008,06/19/2012,0
34604,10-10-2008,11/29/2011,0
59445,10-10-2008,06/27/2011,0
1296,10-10-2008,01/29/2014,0
1312,10-10-2008,03/8/2011,0
5585,10-10-2008,09/28/2011,0
1310,10-10-2008,05/28/2015,0
1370,10-10-2008,03/29/2012,0
1363,10-10-2008,08/20/2015,0
3906,10/16/2008,"Status is 0. No changes in GEM unknown history",0
1358,10-10-2008,12/19/2011,0
1417,10-10-2008,06/5/2015,0
1418,10-10-2008,09/24/2012,0
1348,10-10-2008,02/10/2012,0
1336,10-10-2008,02/7/2014,0
1224,10-10-2008,08/20/2015,0
1434,10-10-2008,08/26/2011,0
1339,10-10-2008,10/22/2014,0
1393,10-10-2008,09/3/2015,0
6642,10-10-2008,03/20/2012,0
54992,10-10-2008,01/4/2012,0
1252,10/23/2008,"Status is 0. No changes in GEM unknown history",0
1482,10-10-2008,09/3/2015,0
1483,10/23/2008,"Status is 0. No changes in GEM unknown history",0
1381,10/23/2008,"Status is 0. No changes in GEM unknown history",0
1478,10/23/2008,"Status is 0. No changes in GEM unknown history",0
1204,10/23/2008,"Status is 0. No changes in GEM unknown history",0
1468,10/23/2008,"Status is 0. No changes in GEM unknown history",0
1508,10/23/2008,"Status is 0. No changes in GEM unknown history",0
1043,10-10-2008,03/26/2012,0
19702,10-10-2008,10/7/2014,0
1509,10/24/2008,"Status is 0. No changes in GEM unknown history",0
1515,10/27/2008,"Status is 0. No changes in GEM unknown history",0
1530,10/27/2008,"Status is 0. No changes in GEM unknown history",0
